,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
0,0,938,C,"The vet found malignant tumors on the animals, what is their likely fate?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['euthanasia', 'pass water', 'die of cancer', 'feel pain',
       'feel pleasure'], dtype=object)}",euthanasia,pass water,die of cancer,feel pain,,"Question: The vet found malignant tumors on the animals, what is their likely fate? (A) euthanasia (B) pass water (C) die of cancer (D) feel pain. 
The correct response is: "," (A) euthanasia 
The patient's condition is: terminal 
The medical professional is: Veterinarian 
The animals are: Pets 
The tumors are: Malignant"
1,1,1112,C,What does someone stop doing when being dead?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['moving', 'working', 'breathing', 'alive', 'deadworks'],
      dtype=object)}",moving,working,breathing,alive,,"Question: What does someone stop doing when being dead? (A) moving (B) working (C) breathing (D) alive. 
The correct response is: "," (D) alive 
The correct response is: (D) alive 
The correct response is: (D) alive 
The correct response is: (D) alive 
The correct response is: (D) alive 
The correct response is: (D) alive 
The"
2,2,188,A,Where could a sloth live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tropical jungle', 'manual', 'work', 'transit', 'countryside'],
      dtype=object)}",tropical jungle,manual,work,transit,,"Question: Where could a sloth live? (A) tropical jungle (B) manual (C) work (D) transit. 
The correct response is: "," (A) tropical jungle 
The correct response is: (A) tropical jungle 
The correct response is: (A) tropical jungle 
The correct response is: (A) tropical jungle 
The correct response is: (A) tropical j"
3,3,984,A,Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['need for food', 'fitness', 'sweating', 'fastfood', 'thirst'],
      dtype=object)}",need for food,fitness,sweating,fastfood,,"Question: Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what? (A) need for food (B) fitness (C) sweating (D) fastfood. 
The correct response is: "," (D) fastfood 
The correct response is: (D) fastfood 
The correct response is: (D) fastfood 
The correct response is"
4,4,576,D,Joe plays a percussion instrument in something.  What might be play in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own home', 'music store', 'marching band', 'orchestra', 'party'],
      dtype=object)}",own home,music store,marching band,orchestra,,"Question: Joe plays a percussion instrument in something.  What might be play in? (A) own home (B) music store (C) marching band (D) orchestra. 
The correct response is: "," (C) marching band 
The correct response is: (C) marching band 
The correct response is: (C) marching band 
The correct response is: (C) marching band 
The correct response is"
5,5,608,D,"If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shelter', 'floor', 'warm place', 'farmhouse', 'living room'],
      dtype=object)}",shelter,floor,warm place,farmhouse,,"Question: If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time? (A) shelter (B) floor (C) warm place (D) farmhouse. 
The correct response is: "," (C) warm place 
The correct response is: (C) warm place 
The correct response is: (C) warm place 
The correct response is: (C)"
6,6,1189,C,What happens when driving?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lack of fuel', 'paint scratching', 'wheels turning', 'tire wear',
       'traffic accident'], dtype=object)}",lack of fuel,paint scratching,wheels turning,tire wear,,"Question: What happens when driving? (A) lack of fuel (B) paint scratching (C) wheels turning (D) tire wear. 
The correct response is: "," (D) tire wear 
The correct response is: (D) tire wear 
The correct response is: (D) tire wear 
The correct response is: (D) tire wear 
The correct response is: (D) tire wear "
7,7,1098,A,How does going jogging generally affect one's self esteem?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel better', 'feel pride', 'sweating', 'ocean', 'arthritis'],
      dtype=object)}",feel better,feel pride,sweating,ocean,,"Question: How does going jogging generally affect one's self esteem? (A) feel better (B) feel pride (C) sweating (D) ocean. 
The correct response is: "," (C) sweating 
The correct response question is: Which of these is a negative effect of jogging?  (A) feel better (B) feel pride (C) sweating (D) ocean. 
The correct response is: (C)"
8,8,383,B,It's Friday night and Alice puts off going to bed because she plans on doing what Saturday?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hatred', 'sleeping in', 'rest', 'making love', 'insomnia'],
      dtype=object)}",hatred,sleeping in,rest,making love,,"Question: It's Friday night and Alice puts off going to bed because she plans on doing what Saturday? (A) hatred (B) sleeping in (C) rest (D) making love. 
The correct response is: "," (B) sleeping in 
The correct response is: All of these 
The correct response is: (A) hatred 
The correct response is: (D) making love 
The correct response is: ("
9,9,622,A,"The janitor never had much to clean after services, but there was still always a paper or two to pick up where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['synagogue', 'front porch', 'classroom', 'obesity',
       'grocery store'], dtype=object)}",synagogue,front porch,classroom,obesity,,"Question: The janitor never had much to clean after services, but there was still always a paper or two to pick up where? (A) synagogue (B) front porch (C) classroom (D) obesity. 
The correct response is: "," (D) obesity 
The janitor's job was to clean up after the church services, so the correct response is: (D) obesity 
The correct response"
