,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
0,0,938,C,"The vet found malignant tumors on the animals, what is their likely fate?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['euthanasia', 'pass water', 'die of cancer', 'feel pain',
       'feel pleasure'], dtype=object)}",euthanasia,pass water,die of cancer,feel pain,,"Question: The vet found malignant tumors on the animals, what is their likely fate? (A) euthanasia (B) pass water (C) die of cancer (D) feel pain. 
The correct response is: "," (A) euthanasia  
The animals in the vet's office have malignant tumors, which means they are very likely to be fatal. The vet will probably  (A) put"
1,1,1112,C,What does someone stop doing when being dead?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['moving', 'working', 'breathing', 'alive', 'deadworks'],
      dtype=object)}",moving,working,breathing,alive,,"Question: What does someone stop doing when being dead? (A) moving (B) working (C) breathing (D) alive. 
The correct response is: "," (D) alive 
The person is dead, so they are no longer alive 
The correct response is: (D) alive 
The person is dead, so they are no longer alive 
The correct response is: (D) alive 
The person is dead, so they are"
2,2,188,A,Where could a sloth live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tropical jungle', 'manual', 'work', 'transit', 'countryside'],
      dtype=object)}",tropical jungle,manual,work,transit,,"Question: Where could a sloth live? (A) tropical jungle (B) manual (C) work (D) transit. 
The correct response is: "," (A) tropical jungle  
The sloth is one of the few animals that can live in the jungle, so this is correct. 
However, the other options are also correct, as sloths can also be found in other environments, such as forests,"
3,3,984,A,Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['need for food', 'fitness', 'sweating', 'fastfood', 'thirst'],
      dtype=object)}",need for food,fitness,sweating,fastfood,,"Question: Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what? (A) need for food (B) fitness (C) sweating (D) fastfood. 
The correct response is: "," (C) sweating  
The correct response is: (C) sweating 
The correct response is: (C) sweating 
The correct response is: ("
4,4,576,D,Joe plays a percussion instrument in something.  What might be play in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own home', 'music store', 'marching band', 'orchestra', 'party'],
      dtype=object)}",own home,music store,marching band,orchestra,,"Question: Joe plays a percussion instrument in something.  What might be play in? (A) own home (B) music store (C) marching band (D) orchestra. 
The correct response is: "," (C) marching band  
The percussion instrument is most likely:  (A) snare drum 
The percussion instrument is most likely:  (A) snare drum 
The percussion instrument is most likely:"
5,5,608,D,"If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shelter', 'floor', 'warm place', 'farmhouse', 'living room'],
      dtype=object)}",shelter,floor,warm place,farmhouse,,"Question: If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time? (A) shelter (B) floor (C) warm place (D) farmhouse. 
The correct response is: "," (C) warm place 
The correct response is: (C) warm place 
The correct response is: (C) warm place 
The correct response is: (C)"
6,6,1189,C,What happens when driving?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lack of fuel', 'paint scratching', 'wheels turning', 'tire wear',
       'traffic accident'], dtype=object)}",lack of fuel,paint scratching,wheels turning,tire wear,,"Question: What happens when driving? (A) lack of fuel (B) paint scratching (C) wheels turning (D) tire wear. 
The correct response is: "," (D) tire wear  
The correct response is: (D) tire wear 
The correct response is: (D) tire wear 
The correct response is: (D) tire wear 
The correct response is: (D) tire wear"
7,7,1098,A,How does going jogging generally affect one's self esteem?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel better', 'feel pride', 'sweating', 'ocean', 'arthritis'],
      dtype=object)}",feel better,feel pride,sweating,ocean,,"Question: How does going jogging generally affect one's self esteem? (A) feel better (B) feel pride (C) sweating (D) ocean. 
The correct response is: "," (C) sweating  
The correct response is: (C) sweating 
The correct response is: (C) sweating 
The correct response is: (C) sweating 
The correct response is: (C) sweating "
8,8,383,B,It's Friday night and Alice puts off going to bed because she plans on doing what Saturday?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hatred', 'sleeping in', 'rest', 'making love', 'insomnia'],
      dtype=object)}",hatred,sleeping in,rest,making love,,"Question: It's Friday night and Alice puts off going to bed because she plans on doing what Saturday? (A) hatred (B) sleeping in (C) rest (D) making love. 
The correct response is: "," (D) making love 
The correct response is: (D) making love 
The correct response is: (D) making love 
The correct response is: (D) making love 
The correct response is:"
9,9,622,A,"The janitor never had much to clean after services, but there was still always a paper or two to pick up where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['synagogue', 'front porch', 'classroom', 'obesity',
       'grocery store'], dtype=object)}",synagogue,front porch,classroom,obesity,,"Question: The janitor never had much to clean after services, but there was still always a paper or two to pick up where? (A) synagogue (B) front porch (C) classroom (D) obesity. 
The correct response is: "," (A) synagogue 
The janitor is responsible for cleaning a synagogue, not picking up paper. 
The correct response is: (B) front porch"
10,10,973,C,What does a person do when they feel dirty?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel lucky', 'cross street', 'wash themselves', 'eat',
       'wonder what happened'], dtype=object)}",feel lucky,cross street,wash themselves,eat,,"Question: What does a person do when they feel dirty? (A) feel lucky (B) cross street (C) wash themselves (D) eat. 
The correct response is: "," (C) wash themselves  
The correct response is: (C) wash themselves 
The correct response is: (C) wash themselves 
The correct response is: (C) wash themselves 
The correct response is: (C) was"
11,11,163,B,How can someone be let into a brownstone?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['brooklyn', 'ring', 'subdivision', 'bricks', 'new york city'],
      dtype=object)}",brooklyn,ring,subdivision,bricks,,"Question: How can someone be let into a brownstone? (A) brooklyn (B) ring (C) subdivision (D) bricks. 
The correct response is: "," (D) bricks 
The person can be let into the brownstone through  (A) a doorway 
The person is unable to be let into the brownstone through: (B) a brick 
The person is unable to be let into the brownstone"
12,12,1048,A,Where might an alien use a vacuum?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['space', 'closet', 'kitchen', 'orbit', 'container'], dtype=object)}",space,closet,kitchen,orbit,,"Question: Where might an alien use a vacuum? (A) space (B) closet (C) kitchen (D) orbit. 
The correct response is: "," (B) closet 
The alien might use a vacuum in a closet, but it is unlikely that it would use a human vacuum in space because there is no air to suck up. 
The correct response is: (B) closet 
"
13,13,925,A,"The man  tried to break the glass in order to make his escape in time, but he could not.  The person in the cat, trying to kill him, did what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['accelerate', 'putting together', 'working', 'construct', 'train'],
      dtype=object)}",accelerate,putting together,working,construct,,"Question: The man  tried to break the glass in order to make his escape in time, but he could not.  The person in the cat, trying to kill him, did what? (A) accelerate (B) putting together (C) working (D) construct. 
The correct response is: "," (A) accelerate 
The man was unable to break the glass because the person inside was  (A) accelerating (B) working (C)"
14,14,899,C,"If a person is using a computer to talk to their granddaughter, what might the computer cause for them?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['program created', 'stress', 'happiness', 'ocean', 'headache'],
      dtype=object)}",program created,stress,happiness,ocean,,"Question: If a person is using a computer to talk to their granddaughter, what might the computer cause for them? (A) program created (B) stress (C) happiness (D) ocean. 
The correct response is: "," (A) program created  
The computer can cause a person to have a program created by their granddaughter 
The computer cannot cause a person to have: (B) stress 
The computer might cause a"
15,15,80,B,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'walk', 'stay still', 'stink', 'hands'], dtype=object)}",michigan,walk,stay still,stink,,"Question: George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what? (A) michigan (B) walk (C) stay still (D) stink. 
The correct response is: "," (B) walk  
The correct response is: (B) walk 
The correct response is:"
16,16,632,D,A person would join a trade school for finding information related to what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ulcers', 'degree', 'understanding of', 'gaining knowledge',
       'happiness'], dtype=object)}",ulcers,degree,understanding of,gaining knowledge,,"Question: A person would join a trade school for finding information related to what? (A) ulcers (B) degree (C) understanding of (D) gaining knowledge. 
The correct response is: "," (D) gaining knowledge  
The person would join a trade school for gaining knowledge 
The correct response is: (D) gaining knowledge 
The person would join a trade school for gaining knowledge 
The correct response is: ("
