index,answerKey,question,choices,A,B,C,D
938,C,"The vet found malignant tumors on the animals, what is their likely fate?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['euthanasia', 'pass water', 'die of cancer', 'feel pain',
       'feel pleasure'], dtype=object)}",euthanasia,pass water,die of cancer,feel pain
1112,C,What does someone stop doing when being dead?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['moving', 'working', 'breathing', 'alive', 'deadworks'],
      dtype=object)}",moving,working,breathing,alive
188,A,Where could a sloth live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tropical jungle', 'manual', 'work', 'transit', 'countryside'],
      dtype=object)}",tropical jungle,manual,work,transit
984,A,Jim decided to lose weight.  He thought that exercise is the best way to lose weight because you can't get rid of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['need for food', 'fitness', 'sweating', 'fastfood', 'thirst'],
      dtype=object)}",need for food,fitness,sweating,fastfood
576,D,Joe plays a percussion instrument in something.  What might be play in?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own home', 'music store', 'marching band', 'orchestra', 'party'],
      dtype=object)}",own home,music store,marching band,orchestra
608,D,"If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shelter', 'floor', 'warm place', 'farmhouse', 'living room'],
      dtype=object)}",shelter,floor,warm place,farmhouse
1189,C,What happens when driving?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lack of fuel', 'paint scratching', 'wheels turning', 'tire wear',
       'traffic accident'], dtype=object)}",lack of fuel,paint scratching,wheels turning,tire wear
1098,A,How does going jogging generally affect one's self esteem?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel better', 'feel pride', 'sweating', 'ocean', 'arthritis'],
      dtype=object)}",feel better,feel pride,sweating,ocean
383,B,It's Friday night and Alice puts off going to bed because she plans on doing what Saturday?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hatred', 'sleeping in', 'rest', 'making love', 'insomnia'],
      dtype=object)}",hatred,sleeping in,rest,making love
622,A,"The janitor never had much to clean after services, but there was still always a paper or two to pick up where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['synagogue', 'front porch', 'classroom', 'obesity',
       'grocery store'], dtype=object)}",synagogue,front porch,classroom,obesity
973,C,What does a person do when they feel dirty?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel lucky', 'cross street', 'wash themselves', 'eat',
       'wonder what happened'], dtype=object)}",feel lucky,cross street,wash themselves,eat
163,B,How can someone be let into a brownstone?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['brooklyn', 'ring', 'subdivision', 'bricks', 'new york city'],
      dtype=object)}",brooklyn,ring,subdivision,bricks
