,index,questionID,answerKey,isMultipleChoiceQuestion,question,A,B,C,D,stem,full_question,full_question_test,res_finetuned
0,0,Mercury_SC_401290,C,1,Which is the best piece of equipment to determine the topography of the United States? (A) radar (B) compass (C) satellite (D) radio, radar , compass , satellite , radio,Which is the best piece of equipment to determine the topography of the United States? ,,"### Which is the best piece of equipment to determine the topography of the United States?  (A)  radar  (B)  compass  (C)  satellite  (D)  radio 
 ### "," (C) satellite 
 ### 2020 high-resolution satellite imagery is available for this location.  (A)  radar (B)  compass (C) satellite (D) 2020 high"
1,1,AKDE&ED_2008_8_40,C,1,Students will perform an experiment to find out how long it takes 2 g of salt to dissolve in 50 mL of water. Which experimental method will provide the most accurate results? (A) one student taking time measurements for one experiment (B) two students taking time measurements for one experiment (C) one student taking time measurements for three identical experiments (D) three students taking time measurements for two identical experiments, one student taking time measurements for one experiment , two students taking time measurements for one experiment , one student taking time measurements for three identical experiments , three students taking time measurements for two identical experiments,Students will perform an experiment to find out how long it takes 2 g of salt to dissolve in 50 mL of water. Which experimental method will provide the most accurate results? ,,"### Students will perform an experiment to find out how long it takes 2 g of salt to dissolve in 50 mL of water. Which experimental method will provide the most accurate results?  (A)  one student taking time measurements for one experiment  (B)  two students taking time measurements for one experiment  (C)  one student taking time measurements for three identical experiments  (D)  three students taking time measurements for two identical experiments 
 ### ",3
2,2,LEAP_2001_8_10379,A,1,"Jo Anne took a large beaker of clean water and carefully added one drop of blue food coloring to the edge of the water's surface. She did not touch or move the beaker. At first, she saw blue streaks as the food coloring sank into the water, but gradually the color of the entire beaker of water became evenly blue. What caused the blue food coloring to be mixed throughout the water? (A) Water molecules hitting the food coloring molecules caused the mixing. (B) Light shining on the surface of the water caused the mixing. (C) A chemical reaction between the water and the food coloring formed a new, light blue compound. (D) The water interacted with the food coloring, causing the blue color to fade.", Water molecules hitting the food coloring molecules caused the mixing. , Light shining on the surface of the water caused the mixing. ," A chemical reaction between the water and the food coloring formed a new, light blue compound. "," The water interacted with the food coloring, causing the blue color to fade.","Jo Anne took a large beaker of clean water and carefully added one drop of blue food coloring to the edge of the water's surface. She did not touch or move the beaker. At first, she saw blue streaks as the food coloring sank into the water, but gradually the color of the entire beaker of water became evenly blue. What caused the blue food coloring to be mixed throughout the water? ",,"### Jo Anne took a large beaker of clean water and carefully added one drop of blue food coloring to the edge of the water's surface. She did not touch or move the beaker. At first, she saw blue streaks as the food coloring sank into the water, but gradually the color of the entire beaker of water became evenly blue. What caused the blue food coloring to be mixed throughout the water?  (A)  Water molecules hitting the food coloring molecules caused the mixing.  (B)  Light shining on the surface of the water caused the mixing.  (C)  A chemical reaction between the water and the food coloring formed a new, light blue compound.  (D)  The water interacted with the food coloring, causing the blue color to fade. 
 ### ",C
3,3,Mercury_7201968,A,1,"Scientists discovered that although infectious bacteria may develop immunity to antibiotic medications, some bacteria are unable to resist certain peptides, which act as natural antibiotic substances inside the human body. This discovery led to the development of which new technology? (A) artificial substances that mimic human peptides (B) antibiotics that can be absorbed through the skin (C) bacteria that attack antibiotic-resistant organisms (D) antibiotics that adapt in response to bacterial immunity", artificial substances that mimic human peptides , antibiotics that can be absorbed through the skin , bacteria that attack antibiotic-resistant organisms , antibiotics that adapt in response to bacterial immunity,"Scientists discovered that although infectious bacteria may develop immunity to antibiotic medications, some bacteria are unable to resist certain peptides, which act as natural antibiotic substances inside the human body. This discovery led to the development of which new technology? ",,"### Scientists discovered that although infectious bacteria may develop immunity to antibiotic medications, some bacteria are unable to resist certain peptides, which act as natural antibiotic substances inside the human body. This discovery led to the development of which new technology?  (A)  artificial substances that mimic human peptides  (B)  antibiotics that can be absorbed through the skin  (C)  bacteria that attack antibiotic-resistant organisms  (D)  antibiotics that adapt in response to bacterial immunity 
 ### ", (
4,4,MDSA_2009_4_1,D,1,A fossilized seashell is found on a mountain. This seashell shows that the mountain was once ___. (A) much hotter (B) much colder (C) above sea level (D) covered by water, much hotter , much colder , above sea level , covered by water,A fossilized seashell is found on a mountain. This seashell shows that the mountain was once ___. ,,"### A fossilized seashell is found on a mountain. This seashell shows that the mountain was once ___.  (A)  much hotter  (B)  much colder  (C)  above sea level  (D)  covered by water 
 ### ","
 ### (C)  above sea level 
 ### (C)  above sea level 
 ### (C)  above sea level 
 ### (C)  above"
5,5,Mercury_SC_401324,D,1,What will most likely happen to this food chain if a farmer decides to dust a wheat crop with an insecticide? wheat -> insects -> sparrows -> hawks (A) The grass would become greener. (B) More birds would move into the fields. (C) The hawks would eat more of the grass. (D) There would be fewer sparrows seen in the fields., The grass would become greener. , More birds would move into the fields. , The hawks would eat more of the grass. , There would be fewer sparrows seen in the fields.,What will most likely happen to this food chain if a farmer decides to dust a wheat crop with an insecticide? wheat -> insects -> sparrows -> hawks ,,"### What will most likely happen to this food chain if a farmer decides to dust a wheat crop with an insecticide? wheat -> insects -> sparrows -> hawks  (A)  The grass would become greener.  (B)  More birds would move into the fields.  (C)  The hawks would eat more of the grass.  (D)  There would be fewer sparrows seen in the fields. 
 ### ","
"
6,6,Mercury_7158935,C,1,"The Steller sea lion population has been decreasing in parts of Alaska. New evidence suggests that Steller sea lions need herring as a part of their diet in order to survive. Pollock, another type of fish, also feed on herring. Which would most likely help the Steller sea lion population to increase? (A) increasing the number of pollock (B) changing the diet of the sea lions (C) improving the habitats of herring (D) changing the location of the sea lions", increasing the number of pollock , changing the diet of the sea lions , improving the habitats of herring , changing the location of the sea lions,"The Steller sea lion population has been decreasing in parts of Alaska. New evidence suggests that Steller sea lions need herring as a part of their diet in order to survive. Pollock, another type of fish, also feed on herring. Which would most likely help the Steller sea lion population to increase? ",,"### The Steller sea lion population has been decreasing in parts of Alaska. New evidence suggests that Steller sea lions need herring as a part of their diet in order to survive. Pollock, another type of fish, also feed on herring. Which would most likely help the Steller sea lion population to increase?  (A)  increasing the number of pollock  (B)  changing the diet of the sea lions  (C)  improving the habitats of herring  (D)  changing the location of the sea lions 
 ### ","
"
7,7,Mercury_SC_401373,A,1,Which is an example of electricity flowing in a circuit to produce sound? (A) pushing a button to make a doorbell ring (B) stepping on a mat to make a door open (C) flipping a switch to turn on a light (D) sliding a lever to turn on an electric blanket, pushing a button to make a doorbell ring , stepping on a mat to make a door open , flipping a switch to turn on a light , sliding a lever to turn on an electric blanket,Which is an example of electricity flowing in a circuit to produce sound? ,,"### Which is an example of electricity flowing in a circuit to produce sound?  (A)  pushing a button to make a doorbell ring  (B)  stepping on a mat to make a door open  (C)  flipping a switch to turn on a light  (D)  sliding a lever to turn on an electric blanket 
 ### "," (A)  pushing a button to make a doorbell ring  
 ### ("
8,8,Mercury_SC_LBS10027,B,1,What is potential energy? (A) The energy an object has due to its motion. (B) The energy an object has due to its position. (C) The energy that increases the mass of an object. (D) The energy that increases the temperature of an object., The energy an object has due to its motion. , The energy an object has due to its position. , The energy that increases the mass of an object. , The energy that increases the temperature of an object.,What is potential energy? ,,"### What is potential energy?  (A)  The energy an object has due to its motion.  (B)  The energy an object has due to its position.  (C)  The energy that increases the mass of an object.  (D)  The energy that increases the temperature of an object. 
 ### ","B 2018-10-01 
 ### (B) 2018-10-01"
9,9,OHAT_2010_8_35,A,1,Which two plant cell structures are responsible for storing energy from sunlight and later releasing it for cells to use? (A) chloroplast and mitochondrion (B) mitochondrion and cell wall (C) chloroplast and nucleus (D) nucleus and cell wall, chloroplast and mitochondrion , mitochondrion and cell wall , chloroplast and nucleus , nucleus and cell wall,Which two plant cell structures are responsible for storing energy from sunlight and later releasing it for cells to use? ,,"### Which two plant cell structures are responsible for storing energy from sunlight and later releasing it for cells to use?  (A)  chloroplast and mitochondrion  (B)  mitochondrion and cell wall  (C)  chloroplast and nucleus  (D)  nucleus and cell wall 
 ### "," (A)  chloroplast and mitochondrion 
 ### (A)"
